id,equipmentId,modelName,format,modelUrl,thumbnailUrl,fileSizeMb,version,updatedByOid,updatedAt
80000000-0000-0000-0000-000000000001,EQUIP_RTI_T001,Andritz RTI-Turbine-A twin (T001),GLB,https://static.poly.pizza/754e9358-fff8-4285-b80f-09b68c2f3c71.glb,,0.06,v1.1,00000000-0000-0000-0000-000000000000,2026-07-11T12:00:00
80000000-0000-0000-0000-000000000002,EQUIP_RTI_T002,Voith RTI-Turbine-B twin (T002),GLB,https://static.poly.pizza/e9fc0901-7600-48f4-881d-b546f3df4cec.glb,,0.03,v1.2,00000000-0000-0000-0000-000000000000,2026-07-12T12:00:00
80000000-0000-0000-0000-000000000003,EQUIP_RTI_T003,GE Vernova RTI-Turbine-C twin (T003),GLB,https://static.poly.pizza/e81145eb-091e-4803-9523-8611bd7e24e4.glb,,0.57,v1.3,00000000-0000-0000-0000-000000000000,2026-07-13T12:00:00
80000000-0000-0000-0000-000000000004,EQUIP_RTI_T004,Toshiba RTI-Turbine-D twin (T004),GLB,https://static.poly.pizza/7e2d13c0-e9ea-47f6-a70e-576745b2d6e0.glb,,2.76,v1.4,00000000-0000-0000-0000-000000000000,2026-07-14T12:00:00
80000000-0000-0000-0000-000000000005,EQUIP_RTI_T005,Hitachi Energy RTI-Turbine-E twin (T005),GLB,https://static.poly.pizza/e6b02958-8f16-423e-8322-036b5379ef0b.glb,,0.02,v1.5,00000000-0000-0000-0000-000000000000,2026-07-15T12:00:00
80000000-0000-0000-0000-000000000006,EQUIP_RTI_T006,Andritz RTI-Turbine-A twin (T006),GLB,https://static.poly.pizza/754e9358-fff8-4285-b80f-09b68c2f3c71.glb,,0.06,v1.6,00000000-0000-0000-0000-000000000000,2026-07-16T12:00:00
80000000-0000-0000-0000-000000000007,EQUIP_RTI_T007,Voith RTI-Turbine-B twin (T007),GLB,https://static.poly.pizza/e9fc0901-7600-48f4-881d-b546f3df4cec.glb,,0.03,v1.7,00000000-0000-0000-0000-000000000000,2026-07-17T12:00:00
80000000-0000-0000-0000-000000000008,EQUIP_RTI_T008,GE Vernova RTI-Turbine-C twin (T008),GLB,https://static.poly.pizza/e81145eb-091e-4803-9523-8611bd7e24e4.glb,,0.57,v1.8,00000000-0000-0000-0000-000000000000,2026-07-18T12:00:00
80000000-0000-0000-0000-000000000009,EQUIP_RTI_T009,Toshiba RTI-Turbine-D twin (T009),GLB,https://static.poly.pizza/7e2d13c0-e9ea-47f6-a70e-576745b2d6e0.glb,,2.76,v1.9,00000000-0000-0000-0000-000000000000,2026-07-19T12:00:00
80000000-0000-0000-0000-000000000010,EQUIP_RTI_T010,Hitachi Energy RTI-Turbine-E twin (T010),GLB,https://static.poly.pizza/e6b02958-8f16-423e-8322-036b5379ef0b.glb,,0.02,v1.10,00000000-0000-0000-0000-000000000000,2026-07-20T12:00:00
80000000-0000-0000-0000-000000000011,EQUIP_RTI_T011,Andritz RTI-Turbine-A twin (T011),GLB,https://static.poly.pizza/754e9358-fff8-4285-b80f-09b68c2f3c71.glb,,0.06,v1.11,00000000-0000-0000-0000-000000000000,2026-07-21T12:00:00
80000000-0000-0000-0000-000000000012,EQUIP_RTI_T012,Voith RTI-Turbine-B twin (T012),GLB,https://static.poly.pizza/e9fc0901-7600-48f4-881d-b546f3df4cec.glb,,0.03,v1.12,00000000-0000-0000-0000-000000000000,2026-07-22T12:00:00
80000000-0000-0000-0000-000000000013,EQUIP_RTI_T013,GE Vernova RTI-Turbine-C twin (T013),GLB,https://static.poly.pizza/e81145eb-091e-4803-9523-8611bd7e24e4.glb,,0.57,v1.13,00000000-0000-0000-0000-000000000000,2026-07-23T12:00:00
80000000-0000-0000-0000-000000000014,EQUIP_RTI_T014,Toshiba RTI-Turbine-D twin (T014),GLB,https://static.poly.pizza/7e2d13c0-e9ea-47f6-a70e-576745b2d6e0.glb,,2.76,v1.14,00000000-0000-0000-0000-000000000000,2026-07-24T12:00:00
80000000-0000-0000-0000-000000000015,EQUIP_RTI_T015,Hitachi Energy RTI-Turbine-E twin (T015),GLB,https://static.poly.pizza/e6b02958-8f16-423e-8322-036b5379ef0b.glb,,0.02,v1.15,00000000-0000-0000-0000-000000000000,2026-07-10T12:00:00
