id,equipmentId,opcuaNodeId,inspectionType,result,findings,inspectorOid,inspectedAt,nextDueAt
60000000-0000-0000-0000-000000000001,EQUIP_RTI_T001,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-20T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000002,EQUIP_RTI_T001,ns=2;s=T001.turbine_temp,THERMOGRAPHIC,PASS,No hot spots detected on bearings or windings.,00000000-0000-0000-0000-000000000000,2026-07-20T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000003,EQUIP_RTI_T002,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-21T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000004,EQUIP_RTI_T002,ns=2;s=T002.vibration_a,VIBRATION,ATTENTION,Guide bearing vibration slightly above baseline; monitor.,00000000-0000-0000-0000-000000000000,2026-07-21T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000005,EQUIP_RTI_T003,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-22T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000006,EQUIP_RTI_T003,,LUBRICATION,PASS,Oil level and quality within specification.,00000000-0000-0000-0000-000000000000,2026-07-22T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000007,EQUIP_RTI_T004,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-23T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000008,EQUIP_RTI_T004,ns=2;s=T004.turbine_temp,THERMOGRAPHIC,PASS,No hot spots detected on bearings or windings.,00000000-0000-0000-0000-000000000000,2026-07-23T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000009,EQUIP_RTI_T005,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-24T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000010,EQUIP_RTI_T005,ns=2;s=T005.vibration_a,VIBRATION,ATTENTION,Guide bearing vibration slightly above baseline; monitor.,00000000-0000-0000-0000-000000000000,2026-07-24T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000011,EQUIP_RTI_T006,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-25T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000012,EQUIP_RTI_T006,,LUBRICATION,PASS,Oil level and quality within specification.,00000000-0000-0000-0000-000000000000,2026-07-25T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000013,EQUIP_RTI_T007,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-26T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000014,EQUIP_RTI_T007,ns=2;s=T007.turbine_temp,THERMOGRAPHIC,PASS,No hot spots detected on bearings or windings.,00000000-0000-0000-0000-000000000000,2026-07-26T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000015,EQUIP_RTI_T008,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-27T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000016,EQUIP_RTI_T008,ns=2;s=T008.vibration_a,VIBRATION,ATTENTION,Guide bearing vibration slightly above baseline; monitor.,00000000-0000-0000-0000-000000000000,2026-07-27T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000017,EQUIP_RTI_T009,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-20T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000018,EQUIP_RTI_T009,,LUBRICATION,PASS,Oil level and quality within specification.,00000000-0000-0000-0000-000000000000,2026-07-20T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000019,EQUIP_RTI_T010,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-21T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000020,EQUIP_RTI_T010,ns=2;s=T010.turbine_temp,THERMOGRAPHIC,PASS,No hot spots detected on bearings or windings.,00000000-0000-0000-0000-000000000000,2026-07-21T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000021,EQUIP_RTI_T011,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-22T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000022,EQUIP_RTI_T011,ns=2;s=T011.vibration_a,VIBRATION,ATTENTION,Guide bearing vibration slightly above baseline; monitor.,00000000-0000-0000-0000-000000000000,2026-07-22T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000023,EQUIP_RTI_T012,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-23T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000024,EQUIP_RTI_T012,,LUBRICATION,PASS,Oil level and quality within specification.,00000000-0000-0000-0000-000000000000,2026-07-23T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000025,EQUIP_RTI_T013,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-24T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000026,EQUIP_RTI_T013,ns=2;s=T013.turbine_temp,THERMOGRAPHIC,PASS,No hot spots detected on bearings or windings.,00000000-0000-0000-0000-000000000000,2026-07-24T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000027,EQUIP_RTI_T014,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-25T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000028,EQUIP_RTI_T014,ns=2;s=T014.vibration_a,VIBRATION,ATTENTION,Guide bearing vibration slightly above baseline; monitor.,00000000-0000-0000-0000-000000000000,2026-07-25T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000029,EQUIP_RTI_T015,,VISUAL,PASS,"Casing, fasteners, and seals visually normal.",00000000-0000-0000-0000-000000000000,2026-07-26T09:00:00,2026-10-15T09:00:00
60000000-0000-0000-0000-000000000030,EQUIP_RTI_T015,,LUBRICATION,PASS,Oil level and quality within specification.,00000000-0000-0000-0000-000000000000,2026-07-26T09:00:00,2026-10-15T09:00:00
