equipment_id,facility_id,system_id,equipment_type_code,equipment_type_name,tag,manufacturer,model,criticality,install_date,status
EQUIP_RTI_T001,FACILITY_RTI_001,SYSTEM_RTI_001,TURB,Turbine,T001,Andritz,RTI-Turbine-A,1,2016-07-01,ACTIVE
EQUIP_RTI_T002,FACILITY_RTI_001,SYSTEM_RTI_001,TURB,Turbine,T002,Voith,RTI-Turbine-B,1,2017-07-01,ACTIVE
EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,TURB,Turbine,T003,GE Vernova,RTI-Turbine-C,1,2018-07-01,ACTIVE
EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,TURB,Turbine,T004,Toshiba,RTI-Turbine-D,1,2019-07-01,ACTIVE
EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,TURB,Turbine,T005,Hitachi Energy,RTI-Turbine-E,1,2020-07-01,ACTIVE
EQUIP_RTI_T006,FACILITY_RTI_002,SYSTEM_RTI_002,TURB,Turbine,T006,Andritz,RTI-Turbine-A,1,2013-07-01,ACTIVE
EQUIP_RTI_T007,FACILITY_RTI_002,SYSTEM_RTI_002,TURB,Turbine,T007,Voith,RTI-Turbine-B,1,2014-07-01,ACTIVE
EQUIP_RTI_T008,FACILITY_RTI_002,SYSTEM_RTI_002,TURB,Turbine,T008,GE Vernova,RTI-Turbine-C,1,2015-07-01,ACTIVE
EQUIP_RTI_T009,FACILITY_RTI_002,SYSTEM_RTI_002,TURB,Turbine,T009,Toshiba,RTI-Turbine-D,1,2016-07-01,ACTIVE
EQUIP_RTI_T010,FACILITY_RTI_002,SYSTEM_RTI_002,TURB,Turbine,T010,Hitachi Energy,RTI-Turbine-E,1,2017-07-01,ACTIVE
EQUIP_RTI_T011,FACILITY_RTI_003,SYSTEM_RTI_003,TURB,Turbine,T011,Andritz,RTI-Turbine-A,1,2019-07-01,ACTIVE
EQUIP_RTI_T012,FACILITY_RTI_003,SYSTEM_RTI_003,TURB,Turbine,T012,Voith,RTI-Turbine-B,1,2020-07-01,ACTIVE
EQUIP_RTI_T013,FACILITY_RTI_003,SYSTEM_RTI_003,TURB,Turbine,T013,GE Vernova,RTI-Turbine-C,1,2021-07-01,ACTIVE
EQUIP_RTI_T014,FACILITY_RTI_003,SYSTEM_RTI_003,TURB,Turbine,T014,Toshiba,RTI-Turbine-D,1,2022-07-01,ACTIVE
EQUIP_RTI_T015,FACILITY_RTI_003,SYSTEM_RTI_003,TURB,Turbine,T015,Hitachi Energy,RTI-Turbine-E,1,2023-07-01,ACTIVE
