instrument_id,equipment_id,facility_id,system_id,instrument_type,tag,unit,opcua_node_id,range_low,range_high,sample_rate_hz
INST_T001_INLET_PRESSURE,EQUIP_RTI_T001,FACILITY_RTI_001,SYSTEM_RTI_001,pressure,inlet_pressure,bar,ns=2;s=T001.inlet_pressure,5,25,1.0
INST_T001_POWER_OUTPUT,EQUIP_RTI_T001,FACILITY_RTI_001,SYSTEM_RTI_001,power,power_output,MW,ns=2;s=T001.power_output,0,120,1.0
INST_T001_TURBINE_SPEED,EQUIP_RTI_T001,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T001.turbine_speed,290,310,1.0
INST_T001_TURBINE_TEMP,EQUIP_RTI_T001,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T001.turbine_temp,30,110,0.2
INST_T001_VIBRATION_A,EQUIP_RTI_T001,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T001.vibration_a,0,45,1.0
INST_T001_VIBRATION_D,EQUIP_RTI_T001,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T001.vibration_d,0,45,1.0
INST_T002_INLET_PRESSURE,EQUIP_RTI_T002,FACILITY_RTI_001,SYSTEM_RTI_001,pressure,inlet_pressure,bar,ns=2;s=T002.inlet_pressure,5,25,1.0
INST_T002_POWER_OUTPUT,EQUIP_RTI_T002,FACILITY_RTI_001,SYSTEM_RTI_001,power,power_output,MW,ns=2;s=T002.power_output,0,120,1.0
INST_T002_TURBINE_SPEED,EQUIP_RTI_T002,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T002.turbine_speed,290,310,1.0
INST_T002_TURBINE_TEMP,EQUIP_RTI_T002,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T002.turbine_temp,30,110,0.2
INST_T002_VIBRATION_A,EQUIP_RTI_T002,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T002.vibration_a,0,45,1.0
INST_T002_VIBRATION_D,EQUIP_RTI_T002,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T002.vibration_d,0,45,1.0
INST_T003_INLET_PRESSURE,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,pressure,inlet_pressure,bar,ns=2;s=T003.inlet_pressure,5,25,1.0
INST_T003_POWER_OUTPUT,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,power,power_output,MW,ns=2;s=T003.power_output,0,120,1.0
